haParameter,idName,units,input,output,description
B,Twb,K,TRUE,TRUE,Wet-Bulb Temperature
C,C,J/kg/K,FALSE,TRUE,Mixture specific heat per unit dry air
Cha,Cha,J/kg/K,FALSE,TRUE,Mixture specific heat per unit humid air
CV,Cv,J/kg/K,FALSE,TRUE,Mixture specific heat at constant volume per unit dry air
Cvha,Cvha,J/kg/K,FALSE,TRUE,Mixture specific heat at constant volume per unit humid air
Tdp,Tdp,K,TRUE,TRUE,Dew-Point Temperature
H,H,J/kg,TRUE,TRUE,Mixture enthalpy per mass dry air
Hha,Hha,J/kg,TRUE,TRUE,Mixture enthalpy per mass humid air
K,K,W/m/K,FALSE,TRUE,Mixture thermal conductivity
Visc,Visc,Pa*s,FALSE,TRUE,Mixture viscosity
psi_w,Y,,TRUE,TRUE,Water mole fraction (mol water/mol humid air)
P,P,Pa,TRUE,FALSE,Pressure
P_w,Pw,Pa,TRUE,TRUE,Partial pressure of water vapor
R,Rh,,TRUE,TRUE,"Relative humidity in [0, 1]"
S,S,J/kg/K,TRUE,TRUE,Mixture entropy per mass dry air
Sha,Sha,J/kg/K,TRUE,TRUE,Mixture entropy per mass humid air
T,T,K,TRUE,TRUE,Dry-Bulb Temperature
Vda,Vda,m^3/kg,TRUE,TRUE,Mixture volume per mass dry air
Vha,Vha,m^3/kg,TRUE,TRUE,Mixture volume per mass humid air
W,W,,TRUE,TRUE,Humidity Ratio (kg water/kg dry air)
Z,Z,,TRUE,FALSE,Compressibility factor (Z=pv/(RT))
