propsName,menuName,idName,category,basic,mixture,minConcentration,maxConcentration
1-Butene,1-Butene,But1ene,Multiphase Compressible,FALSE,FALSE,null,null
Acetone,Acetone,Acetone,Multiphase Compressible,FALSE,FALSE,null,null
Air,Air (Dry),Air,Multiphase Compressible,TRUE,FALSE,null,null
HumidAir,Air (Humid),HumidAir,Multiphase Compressible,TRUE,FALSE,null,null
Ammonia,Ammonia,Ammonia,Multiphase Compressible,FALSE,FALSE,null,null
Argon,Argon,Argon,Multiphase Compressible,FALSE,FALSE,null,null
Benzene,Benzene,Benzene,Multiphase Compressible,FALSE,FALSE,null,null
CarbonDioxide,Carbon Dioxide,CarbonDioxide,Multiphase Compressible,FALSE,FALSE,null,null
CarbonMonoxide,Carbon Monoxide,CarbonMonoxide,Multiphase Compressible,FALSE,FALSE,null,null
CarbonylSulfide,Carbonyl Sulfide,CarbonylSulfide,Multiphase Compressible,FALSE,FALSE,null,null
CycloHexane,Cyclohexane,Cyclohexane,Multiphase Compressible,FALSE,FALSE,null,null
CycloPropane,Cyclopropane,Cyclopropane,Multiphase Compressible,FALSE,FALSE,null,null
Cyclopentane,Cyclopentane,Cyclopentane,Multiphase Compressible,FALSE,FALSE,null,null
D4,D4,D4,Multiphase Compressible,FALSE,FALSE,null,null
D5,D5,D5,Multiphase Compressible,FALSE,FALSE,null,null
D6,D6,D6,Multiphase Compressible,FALSE,FALSE,null,null
Deuterium,Deuterium,Deuterium,Multiphase Compressible,FALSE,FALSE,null,null
Dichloroethane,Dichloroethane,Dichloroethane,Multiphase Compressible,FALSE,FALSE,null,null
DiethylEther,Diethyl Ether,DiethylEther,Multiphase Compressible,FALSE,FALSE,null,null
DimethylCarbonate,Dimethyl Carbonate,DimethylCarbonate,Multiphase Compressible,FALSE,FALSE,null,null
DimethylEther,Dimethyl Ether,DimethylEther,Multiphase Compressible,FALSE,FALSE,null,null
Ethane,Ethane,Ethane,Multiphase Compressible,FALSE,FALSE,null,null
Ethanol,Ethanol,Ethanol,Multiphase Compressible,FALSE,FALSE,null,null
EthylBenzene,Ethylbenzene,Ethylbenzene,Multiphase Compressible,FALSE,FALSE,null,null
Ethylene,Ethylene,Ethylene,Multiphase Compressible,FALSE,FALSE,null,null
EthyleneOxide,Ethylene Oxide,EthyleneOxide,Multiphase Compressible,FALSE,FALSE,null,null
Fluorine,Fluorine,Fluorine,Multiphase Compressible,FALSE,FALSE,null,null
