propsName,menuName,idName,category,basic,incompressibleMixture,minConcentration,maxConcentration,longDescription
Air.mix,Air,AirMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - NITROGEN: 0.7812, ARGON: 0.0092, OXYGEN: 0.2096"
Amarillo.mix,Amarillo,AmarilloMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - METHANE: 0.906724, NITROGEN: 0.031284, CO2: 0.004676, ETHANE: 0.045279, PROPANE: 0.00828, ISOBUTAN: 0.001037, BUTANE: 0.001563, IPENTANE: 0.000321, PENTANE: 0.000443, HEXANE: 0.000393"
Ekofisk.mix,Ekofisk,EkofiskMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - METHANE: 0.859063, NITROGEN: 0.010068, CO2: 0.014954, ETHANE: 0.084919, PROPANE: 0.023015, ISOBUTAN: 0.003486, BUTANE: 0.003506, IPENTANE: 0.000509, PENTANE: 0.00048"
GulfCoast.mix,GulfCoast,GulfCoastMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - METHANE: 0.965222, NITROGEN: 0.002595, CO2: 0.005956, ETHANE: 0.018186, PROPANE: 0.004596, ISOBUTAN: 0.000977, BUTANE: 0.001007, IPENTANE: 0.000473, PENTANE: 0.000324, HEXANE: 0.000664"
HighCO2.mix,HighCO2,HighCO2Mixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - METHANE: 0.81212, NITROGEN: 0.05702, CO2: 0.07585, ETHANE: 0.04303, PROPANE: 0.00895, ISOBUTAN: 0.00151, BUTANE: 0.00152"
HighN2.mix,HighN2,HighN2Mixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - METHANE: 0.81441, NITROGEN: 0.13465, CO2: 0.00985, ETHANE: 0.033, PROPANE: 0.00605, ISOBUTAN: 0.001, BUTANE: 0.00104"
NaturalGasSample.mix,NaturalGasSample,NaturalGasSampleMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - METHANE: 0.95123, NITROGEN: 0.00089, CO2: 0.02555, ETHANE: 0.01835, PROPANE: 0.00238, ISOBUTAN: 0.0004, BUTANE: 0.00016, IPENTANE: 0.00014, PENTANE: 0.00011, HEXANE: 0.00079"
R401A.mix,R401A,R401AMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - R22: 0.578854210704231, R152A: 0.185871453986601, R124: 0.235274335309169"
R401B.mix,R401B,R401BMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - R22: 0.654924685341436, R152A: 0.154607382276918, R124: 0.190467932381646"
R401C.mix,R401C,R401CMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - R22: 0.385591186504412, R152A: 0.229445970225924, R124: 0.384962843269664"
R402A.mix,R402A,R402AMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - R125: 0.507659889396724, PROPANE: 0.0460590346231213, R22: 0.446281075980154"
R402B.mix,R402B,R402BMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - R125: 0.299858744498276, PROPANE: 0.0429562491180057, R22: 0.657185006383719"
R403A.mix,R403A,R403AMixture,Predefined Compressible Mixture,FALSE,FALSE,null,null,"Mole Fractions - PROPANE: 0.104301635230068, R22: 0.797852142841926, R218: 0.0978462219280052"
